crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository
abi_stable,1215035,195758,2023-10-12T20:00:22.217465Z,2019-04-13T04:58:45.473118Z,0.11.3,"For doing Rust-to-Rust ffi,writing libraries loaded at program startup.",https://github.com/rodrimati1992/abi_stable_crates/
abomonation,1034752,38954,2019-07-11T13:00:14.563293Z,2015-07-15T13:27:29.231646Z,0.7.3,A high performance and very unsafe serialization library,https://github.com/TimelyDataflow/abomonation.git
abox,8412,1035,2021-01-25T13:20:28.714428Z,2018-05-14T15:17:44.725861Z,0.4.1,A safe wrapper around AtomicPtr,
acc_reader,8497,2149,2016-02-01T21:10:08.279769Z,2016-01-30T22:53:11.418275Z,2.0.0,A wrapper for std::io::Read providing std::io::Seek,https://github.com/netvl/acc_reader
actix-codec,33187014,4835544,2024-01-30T22:15:31.971530Z,2018-12-11T16:11:24.789455Z,0.5.2,Codec utilities for working with framed protocols,https://github.com/actix/actix-net
actix-http,33747473,4959230,2025-03-10T03:53:03.936802Z,2019-03-28T19:50:22.257203Z,3.10.0,HTTP types and services for the Actix ecosystem,https://github.com/actix/actix-web
actix-service,32387104,4823894,2025-03-09T17:57:51.688174Z,2018-12-09T18:06:41.389362Z,2.0.3,Service trait and combinators for representing asynchronous request/response operations.,https://github.com/actix/actix-net
actix-utils,32801092,4810341,2022-10-21T02:16:28.434701Z,2018-12-11T16:41:30.670256Z,3.0.1,Various utilities used in the Actix ecosystem,https://github.com/actix/actix-net
actix-web,34264810,4995923,2025-03-10T04:52:19.400006Z,2017-10-23T23:08:29.260260Z,4.10.2,"Actix Web is a powerful, pragmatic, and extremely fast web framework for Rust",https://github.com/actix/actix-web
adtensor,4490,569,2019-04-08T03:43:06.683431Z,2019-03-27T21:35:04.667565Z,0.0.3,Machine learning library with auto differentiation of arbitrary dimensional stack tensors.,https://github.com/charles-r-earp/adtensor
aes-ctr,1962383,50742,2021-05-03T18:46:01.752833Z,2018-07-30T10:39:26.984009Z,0.99.99,DEPRECATED: replaced by the `aes` crate,https://github.com/RustCrypto/block-ciphers/tree/master/aes
aes-soft,15339918,552223,2021-05-03T18:44:22.356330Z,2018-03-04T13:10:17.816613Z,0.99.99,DEPRECATED: replaced by the `aes` crate,https://github.com/RustCrypto/block-ciphers/tree/master/aes
aesni,5912304,205722,2021-05-03T18:43:01.338490Z,2017-07-21T07:42:45.555583Z,0.99.99,DEPRECATED: replaced by the `aes` crate,https://github.com/RustCrypto/block-ciphers/tree/master/aes
age,384408,79699,2024-12-18T15:35:01.705837Z,2019-10-06T05:58:00.970843Z,0.11.1,"[BETA] A simple, secure, and modern encryption library.",https://github.com/str4d/rage
